Country Code,Countries,Food Security Index,Prevalence of undernourishment,Percentage of children stunted,Percentage of children underweight,Prevalence of severe food insecurity,Prevalence of moderate or severe food insecurity,Human Development Index,EIU Democracy Index,Prevalence of Obesity
UGA,Uganda,47.0,n/a,27.9,10.4,22,69.2,0.54,5,6.8
UKR,Ukraine,60.6,2.5,15.9,4.1,2,n/a,0.78,6,28.4
ARE,United Arab Emirates,73.6,3.7,n/a,n/a,n/a,n/a,0.89,3,38.8
GBR,United Kingdom,79.3,2.5,n/a,n/a,1,3.9,0.93,9,30.4
USA,United States,78.7,2.5,3.2,0.4,1,8,0.93,8,38.2
URY,Uruguay,69.2,2.5,6.5,1.8,7,23.5,0.82,9,32.1
UZB,Uzbekistan,54.5,2.5,9.9,2.9,4,19.7,0.72,2,17.7
VEN,Venezuela,44.0,27.4,10.6,2.9,n/a,n/a,0.71,3,28.3
VNM,Vietnam,62.7,6.7,22.3,13.4,0,6.5,0.7,3,2.6
YEM,Yemen,39.8,45.4,37.2,39.9,n/a,n/a,0.47,2,18.2
ZMB,Zambia,44.7,n/a,32.3,11.8,23,51.4,0.58,5,10
